code_commune,nom_commune,code_departement,annee,scenario_nombre_votants,modele_nombre_votants,prediction_nombre_votants_2032,scenario_taux_participation,modele_taux_participation,prediction_taux_participation_2032
01236,MARSONNAS,01,2032,covid_pondere,Random forest,534.02,covid_pondere,Random forest,68.67
01237,MARTIGNAT,01,2032,covid_pondere,Random forest,649.14,covid_pondere,Random forest,54.65
01238,MASSIEUX,01,2032,covid_pondere,Random forest,1413.63,covid_pondere,Random forest,70.83
01239,MASSIGNIEU-DE-RIVES,01,2032,covid_pondere,Random forest,343.03,covid_pondere,Random forest,61.09
01240,MATAFELON-GRANGES,01,2032,covid_pondere,Random forest,286.41,covid_pondere,Random forest,58.39
01241,MEILLONNAS,01,2032,covid_pondere,Random forest,529.4,covid_pondere,Random forest,37.07
01242,MÉRIGNAT,01,2032,covid_pondere,Random forest,78.25,covid_pondere,Random forest,75.75
01243,MESSIMY-SUR-SAÔNE,01,2032,covid_pondere,Random forest,751.69,covid_pondere,Random forest,83.9
01244,MEXIMIEUX,01,2032,covid_pondere,Random forest,3474.1,covid_pondere,Random forest,60.7
01245,BOHAS-MEYRIAT-RIGNAT,01,2032,covid_pondere,Random forest,564.05,covid_pondere,Random forest,76.23
01246,MÉZÉRIAT,01,2032,covid_pondere,Random forest,664.77,covid_pondere,Random forest,31.18
01247,MIJOUX,01,2032,covid_pondere,Random forest,108.96,covid_pondere,Random forest,39.7
01248,MIONNAY,01,2032,covid_pondere,Random forest,1156.27,covid_pondere,Random forest,73.81
01249,MIRIBEL,01,2032,covid_pondere,Random forest,4709.67,covid_pondere,Random forest,68.38
01250,MISÉRIEUX,01,2032,covid_pondere,Random forest,1041.1,covid_pondere,Random forest,91.56
01252,MOGNENEINS,01,2032,covid_pondere,Random forest,538.67,covid_pondere,Random forest,88.15
01254,MONTAGNAT,01,2032,covid_pondere,Random forest,1015.92,covid_pondere,Random forest,67.76
01255,MONTAGNIEU,01,2032,covid_pondere,Random forest,410.9,covid_pondere,Random forest,88.94
01257,MONTANGES,01,2032,covid_pondere,Random forest,141.07,covid_pondere,Random forest,46.88
01258,MONTCEAUX,01,2032,covid_pondere,Random forest,741.07,covid_pondere,Random forest,90.61
01259,MONTCET,01,2032,covid_pondere,Random forest,303.33,covid_pondere,Random forest,61.22
01260,LE MONTELLIER,01,2032,covid_pondere,Random forest,180.71,covid_pondere,Random forest,85.37
01261,MONTHIEUX,01,2032,covid_pondere,Random forest,313.16,covid_pondere,Random forest,55.54
01262,MONTLUEL,01,2032,covid_pondere,Random forest,2730.89,covid_pondere,Random forest,60.78
01263,MONTMERLE-SUR-SAÔNE,01,2032,covid_pondere,Random forest,1387.9,covid_pondere,Random forest,45.27
01264,MONTRACOL,01,2032,covid_pondere,Random forest,410.68,covid_pondere,Random forest,44.36
01265,MONTRÉAL-LA-CLUSE,01,2032,covid_pondere,Random forest,1091.23,covid_pondere,Random forest,45.54
01266,MONTREVEL-EN-BRESSE,01,2032,covid_pondere,Random forest,942.22,covid_pondere,Random forest,41.11
01267,NURIEUX-VOLOGNAT,01,2032,covid_pondere,Random forest,346.01,covid_pondere,Random forest,42.81
01268,MURS-ET-GÉLIGNIEUX,01,2032,covid_pondere,Random forest,166.56,covid_pondere,Random forest,78.82
01269,NANTUA,01,2032,covid_pondere,Random forest,1169.14,covid_pondere,Random forest,60.4
01272,NEUVILLE-LES-DAMES,01,2032,covid_pondere,Random forest,890.75,covid_pondere,Random forest,77.29
01273,NEUVILLE-SUR-AIN,01,2032,covid_pondere,Random forest,1000.16,covid_pondere,Random forest,91.82
01274,LES NEYROLLES,01,2032,covid_pondere,Random forest,170.59,covid_pondere,Random forest,37.6
01275,NEYRON,01,2032,covid_pondere,Random forest,1036.14,covid_pondere,Random forest,51.18
01276,NIÉVROZ,01,2032,covid_pondere,Random forest,940.22,covid_pondere,Random forest,73.29
01277,NIVOLLET-MONTGRIFFON,01,2032,covid_pondere,Random forest,89.44,covid_pondere,Random forest,71.23
01279,ONCIEU,01,2032,covid_pondere,Random forest,52.74,covid_pondere,Random forest,70.04
01280,ORDONNAZ,01,2032,covid_pondere,Random forest,74.52,covid_pondere,Random forest,49.79
01281,ORNEX,01,2032,covid_pondere,Random forest,1414.0,covid_pondere,Random forest,52.06
