code_commune,annee,population,taux_chomage,revenu_median,taux_criminalite
01263,2026,3772.0,6.14273544248136,24320.0,4.4454
01264,2026,1016.0,4.86974813776004,24080.0,0.0
01265,2026,3456.0,10.516717325228,19770.0,3.6491
01266,2026,2576.0,9.12755078601586,21720.0,6.1614
01267,2026,1025.0,8.48126232741617,23400.0,0.0
01268,2026,246.0,10.3691510582923,23680.0,0.0
01269,2026,3454.0,14.9719074361034,17870.0,4.9766
01272,2026,1500.0,6.03361507883873,22300.0,1.9169
01273,2026,1800.0,6.94288913773796,21690.0,3.0153
01274,2026,645.0,16.1079073481792,20050.0,0.0
01275,2026,2569.0,4.41241418464458,29160.0,7.5121
01276,2026,1624.0,5.81532590721805,26110.0,1.5644
01277,2026,117.0,10.7692307692308,23650.0,0.0
01279,2026,80.0,0.0,21550.0,0.0
01280,2026,138.0,4.28571428571428,21040.0,0.0
01281,2026,4483.0,10.0165207881628,36440.0,4.3206
01282,2026,258.0,5.21837513148137,24200.0,0.0
01283,2026,22456.0,14.5735607165774,17510.0,4.3345
01284,2026,694.0,7.77821845039055,21800.0,0.0
01285,2026,1229.0,4.84633365470252,28340.0,0.0
01286,2026,951.0,5.70325277944128,25240.0,0.0
01288,2026,2717.0,6.97674418604651,39260.0,3.0627
01289,2026,6520.0,9.06217070600632,23350.0,4.2745
01290,2026,1273.0,7.63473053892216,26260.0,9.7712
01291,2026,842.0,3.16542156091798,23280.0,0.0
01293,2026,148.0,5.47945205479452,24720.0,0.0
01294,2026,886.0,5.93406593406593,22200.0,0.0
01295,2026,686.0,5.73770491803279,23140.0,0.0
01296,2026,420.0,6.63507109004739,22140.0,0.0
01297,2026,867.0,6.19060029665773,26580.0,1.2807
01298,2026,150.0,9.58904109589041,30220.0,0.0
01299,2026,584.0,5.67215510150176,23660.0,0.0
01301,2026,2547.0,5.70982056522024,23680.0,4.0196
01302,2026,163.0,9.21052631578947,26260.0,0.0
01303,2026,1699.0,9.13586394281833,21520.0,4.8173
01304,2026,2924.0,10.2202949595065,21650.0,4.9859
01305,2026,2213.0,11.1271032411503,19700.0,4.5372
01306,2026,1641.0,12.1809558878916,20300.0,5.3325
01307,2026,836.0,9.08927150419914,21760.0,2.8045
01308,2026,807.0,6.66048023082302,36390.0,5.4992
01309,2026,85.0,7.31707317073171,21550.0,0.0
01310,2026,251.0,12.3076923076923,23210.0,0.0
01311,2026,44.0,3.57142857142857,21550.0,0.0
01313,2026,8711.0,10.1711674001298,41270.0,3.0381
01314,2026,1729.0,6.39994066882284,23320.0,2.823
01317,2026,330.0,7.79771212903914,23220.0,0.0
01318,2026,726.0,5.00221006852551,27790.0,0.0
01319,2026,466.0,4.68268609273399,23610.0,0.0
01320,2026,3791.0,7.74100882566432,23510.0,5.5973
01321,2026,888.0,3.90636786449928,25930.0,0.0
01322,2026,4984.0,5.19600270968776,27390.0,3.5791
01323,2026,989.0,6.38766519823788,22140.0,0.0
01325,2026,1032.0,6.02836879432624,25590.0,0.9887
01328,2026,597.0,3.92179586196298,24540.0,0.0
01329,2026,153.0,15.7894736842105,18800.0,0.0
01331,2026,187.0,8.7719298245614,22580.0,0.0
01332,2026,779.0,4.31000717154496,23600.0,0.0
01333,2026,3369.0,5.52095483595673,25260.0,3.8467
01334,2026,658.0,4.84202119571147,23330.0,0.0
01335,2026,402.0,6.3808693877596,22860.0,0.0
01336,2026,1174.0,8.25335556712871,22710.0,0.0
01337,2026,1311.0,5.66887057130206,22080.0,1.2264
01338,2026,1227.0,6.01862169696414,21900.0,8.001
01339,2026,1463.0,5.84821143488627,31160.0,0.6289
01342,2026,554.0,7.27686744518769,27910.0,0.0
01343,2026,1793.0,6.24188968461948,22600.0,3.1089
01344,2026,5943.0,8.1349833369405,24430.0,6.3873
01345,2026,2266.0,7.47411285237515,22620.0,5.4601
01346,2026,858.0,5.19853538417622,22650.0,0.0
01347,2026,2035.0,6.39054732315362,27750.0,4.8089
01348,2026,2938.0,8.21411556853564,22410.0,4.8519
01349,2026,503.0,5.92983660121321,25260.0,0.0
01350,2026,2542.0,7.64429440839345,23320.0,2.7674
01351,2026,1571.0,5.01976320847856,22190.0,4.1721
01352,2026,583.0,7.29099108592369,21080.0,0.0
01353,2026,1700.0,5.27445231860261,26480.0,6.1128
01354,2026,13943.0,10.1318315802554,29370.0,3.0534
01355,2026,486.0,6.39981476819032,22220.0,0.0
01356,2026,208.0,7.56302521008404,25290.0,0.0
01357,2026,502.0,10.9272692555898,20790.0,0.0
01358,2026,429.0,4.59770114942529,22970.0,0.0
01359,2026,246.0,6.52173913043478,24000.0,0.0
01360,2026,1895.0,5.75839244743889,38990.0,1.4313
01361,2026,1577.0,4.83852036813113,27210.0,1.6077
01362,2026,786.0,5.47619047619048,27390.0,1.4484
01363,2026,1772.0,9.45820305566324,23040.0,1.4501
01364,2026,756.0,8.1553756565781,22040.0,0.0
01365,2026,1162.0,7.16845878136201,23940.0,0.0
01366,2026,1082.0,6.65775753920221,24220.0,1.0969
01367,2026,746.0,9.96978851963746,20880.0,0.0
01368,2026,838.0,4.66699330369941,22100.0,0.0
01369,2026,942.0,6.11661834350474,25610.0,3.2905
01370,2026,1688.0,12.7248366887208,18660.0,8.1768
01371,2026,1242.0,6.75213935622688,24640.0,1.3682
01372,2026,444.0,8.92018779342723,24760.0,0.0
01373,2026,1023.0,7.90046082937692,23520.0,0.0
01374,2026,1871.0,5.19415958823587,24610.0,2.3081
01375,2026,782.0,5.23068290689337,23970.0,0.0
01376,2026,3962.0,8.7390967670187,22630.0,4.0135
01378,2026,2645.0,4.94503331463494,26740.0,3.447
01379,2026,760.0,6.83043095727128,22240.0,0.0
01380,2026,632.0,8.05808727470404,20420.0,0.0
01381,2026,921.0,3.98600350512968,22830.0,0.0
01382,2026,279.0,5.97826086956522,25090.0,0.0
01383,2026,1562.0,6.89157295715291,21970.0,5.2449
01384,2026,2188.0,15.2366290940041,18900.0,3.5877
01385,2026,985.0,3.9647577092511,25660.0,2.2676
01386,2026,1127.0,7.36456501046282,25650.0,3.9772
01387,2026,256.0,3.81679389312977,22650.0,0.0
01388,2026,1102.0,8.42622631154664,20330.0,0.0
01389,2026,1834.0,6.78084884817876,23000.0,3.4715
01390,2026,1246.0,7.31944352067162,23830.0,4.5442
01391,2026,271.0,4.29974010112778,22770.0,0.0
01392,2026,656.0,4.69025732952916,25020.0,0.0
01393,2026,544.0,5.76923076923077,25030.0,0.0
01396,2026,977.0,14.1472868217054,20150.0,0.0
01397,2026,978.0,11.0192557283137,40590.0,2.6654
01398,2026,1421.0,4.39844760672704,24680.0,4.2512
01399,2026,2107.0,8.79467819038815,40960.0,3.6627
01400,2026,139.0,6.77966101694915,21090.0,0.0
01401,2026,2167.0,8.55316790073816,41210.0,2.6086
01402,2026,652.0,10.0866476829851,21890.0,0.0
01403,2026,1295.0,10.7322113215248,21480.0,5.1253
01404,2026,135.0,14.2857142857143,24040.0,0.0
01405,2026,1280.0,9.59955182756786,21680.0,0.0
01406,2026,174.0,4.16666666666667,21110.0,0.0
01407,2026,1002.0,10.0533870836155,22600.0,1.6534
01408,2026,661.0,5.37184963947946,22530.0,0.0
01410,2026,300.0,9.21455262720317,25300.0,0.0
01411,2026,273.0,4.16666666666667,23250.0,0.0
01412,2026,595.0,5.65198261312632,23640.0,0.0
01415,2026,499.0,7.54712697768862,21980.0,0.0
01416,2026,1014.0,14.2697249861415,19300.0,0.0
01418,2026,1087.0,3.87177318305804,29970.0,2.6434
01419,2026,6021.0,8.34763099200256,36890.0,3.9197
01420,2026,1690.0,12.4317483801451,18900.0,2.829
01421,2026,729.0,7.46148269248933,22330.0,0.0
01422,2026,1355.0,5.3398517179241,24860.0,5.4879
01423,2026,1124.0,3.85324641204656,26110.0,1.432
01424,2026,1776.0,4.44828519264784,30170.0,3.0869
01425,2026,288.0,5.36861951041864,24280.0,0.0
01426,2026,2538.0,7.2426717910455,22890.0,3.6174
01427,2026,6920.0,10.3390965125327,22100.0,4.3091
01428,2026,126.0,1.53846153846154,23540.0,0.0
01429,2026,707.0,4.98596736008813,23170.0,0.0
01430,2026,619.0,6.81694850861166,22680.0,0.0
01431,2026,1227.0,4.61492050099431,23780.0,3.3306
01432,2026,323.0,7.90869529263314,22390.0,0.0
01433,2026,313.0,10.3294683736664,19990.0,0.0
01434,2026,472.0,4.39295173146972,24210.0,0.0
01435,2026,2157.0,10.1808058772555,38060.0,2.7498
