code_commune;annee_source;nombre_faits;taux_criminalite;nb_indicateurs
67149;2025;0.0;0.0;8
67150;2025;10.0;1.2346;5
67151;2025;114.0;4.23;6
67152;2025;275.0;3.5202;11
67153;2025;0.0;0.0;9
67154;2025;56.0;2.6743;6
67155;2025;0.0;0.0;3
67156;2025;23.0;2.1085;4
67159;2025;0.0;0.0;9
67160;2025;0.0;0.0;8
67161;2025;0.0;0.0;7
67162;2025;0.0;0.0;7
67163;2025;0.0;0.0;8
67164;2025;0.0;0.0;3
67165;2025;0.0;0.0;7
67166;2025;0.0;0.0;11
67167;2025;8.0;0.9564;7
67168;2025;0.0;0.0;4
67169;2025;36.0;2.6343;6
67172;2025;20.0;1.7014;5
67173;2025;0.0;0.0;5
67174;2025;0.0;0.0;5
67176;2025;61.0;1.9888;8
67177;2025;0.0;0.0;7
67178;2025;0.0;0.0;10
67179;2025;0.0;0.0;9
67180;2025;1447.0;2.9514;14
67181;2025;0.0;0.0;8
67182;2025;16.0;2.1954;4
67183;2025;0.0;0.0;5
67184;2025;22.0;2.8766;4
67185;2025;0.0;0.0;11
67186;2025;0.0;0.0;10
67187;2025;0.0;0.0;7
67188;2025;0.0;0.0;6
67189;2025;7.0;1.2613;6
67190;2025;0.0;0.0;8
67191;2025;0.0;0.0;3
67192;2025;0.0;0.0;6
67194;2025;90.0;3.8347;5
67195;2025;0.0;0.0;10
67196;2025;33.0;2.1121;6
67197;2025;6.0;0.5477;7
67198;2025;0.0;0.0;12
67199;2025;0.0;0.0;13
67200;2025;0.0;0.0;7
67201;2025;0.0;0.0;10
67202;2025;91.0;2.2536;10
67203;2025;0.0;0.0;9
67204;2025;430.0;4.256;10
67205;2025;95.0;4.0813;6
67206;2025;0.0;0.0;6
67208;2025;0.0;0.0;11
67209;2025;0.0;0.0;9
67210;2025;0.0;0.0;5
67212;2025;59.0;2.5711;7
67213;2025;0.0;0.0;6
67214;2025;0.0;0.0;5
67215;2025;0.0;0.0;6
67216;2025;65.0;3.961;6
67217;2025;0.0;0.0;8
67218;2025;1182.0;3.7574;12
67220;2025;0.0;0.0;8
67221;2025;0.0;0.0;10
67222;2025;106.0;3.7905;7
67223;2025;5.0;0.7764;5
67225;2025;0.0;0.0;13
67226;2025;41.0;4.5466;5
67227;2025;0.0;0.0;8
67228;2025;0.0;0.0;6
67229;2025;0.0;0.0;12
67230;2025;24.0;1.4215;7
67231;2025;0.0;0.0;14
67232;2025;0.0;0.0;13
67233;2025;7.0;0.6972;8
67234;2025;16.0;2.152;5
67235;2025;0.0;0.0;6
67236;2025;0.0;0.0;10
67237;2025;49.0;3.6277;6
67238;2025;0.0;0.0;11
67239;2025;7.0;2.0858;4
67240;2025;0.0;0.0;6
67241;2025;0.0;0.0;11
67242;2025;0.0;0.0;7
67244;2025;0.0;0.0;11
67245;2025;0.0;0.0;10
67246;2025;0.0;0.0;3
67247;2025;0.0;0.0;8
67248;2025;12.0;1.2918;9
67249;2025;0.0;0.0;9
67250;2025;0.0;0.0;6
67252;2025;0.0;0.0;4
67253;2025;0.0;0.0;6
67254;2025;0.0;0.0;4
67255;2025;0.0;0.0;7
67256;2025;83.0;4.4974;7
67257;2025;0.0;0.0;11
67258;2025;0.0;0.0;11
67259;2025;0.0;0.0;6
67260;2025;0.0;0.0;12
67261;2025;20.0;2.8686;3
67263;2025;8.0;0.767;7
67264;2025;0.0;0.0;6
67265;2025;0.0;0.0;6
67266;2025;0.0;0.0;5
67267;2025;686.0;3.2;11
67268;2025;28.0;1.8601;7
67269;2025;0.0;0.0;10
67270;2025;0.0;0.0;7
67271;2025;0.0;0.0;8
67272;2025;0.0;0.0;8
67273;2025;0.0;0.0;10
67274;2025;0.0;0.0;8
67275;2025;0.0;0.0;6
67276;2025;33.0;2.4065;7
67277;2025;0.0;0.0;4
67278;2025;0.0;0.0;6
67279;2025;0.0;0.0;11
67280;2025;0.0;0.0;8
67281;2025;137.0;3.8938;8
67282;2025;74.0;2.526;7
67283;2025;71.0;3.758;7
67285;2025;8.0;1.3387;4
67286;2025;13.0;1.1829;7
67287;2025;0.0;0.0;8
67288;2025;0.0;0.0;11
67289;2025;0.0;0.0;6
67290;2025;0.0;0.0;5
67291;2025;70.0;2.9913;7
67292;2025;0.0;0.0;8
67293;2025;0.0;0.0;8
67295;2025;0.0;0.0;6
67296;2025;66.0;6.5209;6
67298;2025;0.0;0.0;9
67299;2025;0.0;0.0;7
67300;2025;364.0;3.6675;11
67301;2025;29.0;2.1186;7
