code_commune;revenu_median;taux_pauvrete;nb_menages;nb_personnes
16107;21170;;222;528
16108;19580;;56;126
16109;20050;;278;674
16110;19380;;341;737
16111;19490;;67;155
16113;20260;16;3424;7089
16114;18140;;68;145
16116;22410;;179;390
16117;19040;;55;118
16118;18100;;66;133
16119;20670;;579;1332
16120;24050;;614;1506
16121;21680;;196;440
16122;16360;;70;144
16123;22270;;210;491
16124;18460;;292;551
16125;19480;;124;256
16127;21430;;49;106
16128;19210;;87;177
16130;19700;;80;163
16131;20490;;235;476
16132;19780;;417;884
16133;25080;;87;205
16134;20090;;459;963
16135;20870;;135;302
16136;21180;;265;598
16137;20060;;125;273
16138;22720;9;1673;3852
16139;24810;;83;196
16140;20910;;177;427
16141;21640;;155;340
16142;20210;;99;197
16143;20530;;286;693
16144;18990;;186;407
16145;24170;;270;617
16146;24300;;856;2114
16147;20310;;107;260
16148;21770;;416;963
16150;23810;;726;1637
16151;23700;;377;925
16152;25590;;314;763
16153;23110;;496;1148
16154;20630;14;2803;5690
16157;19260;;79;156
16158;18240;;136;288
16160;22600;;206;448
16161;17400;;70;172
16162;21350;;79;147
16163;21640;;495;1065
16164;16570;;121;222
16165;20810;;161;367
16166;21360;12;2493;5281
16167;21100;13;2230;4245
16168;22820;;349;820
16169;24450;;277;589
16170;18780;;156;336
16171;23220;;273;577
16173;18870;;81;171
16174;22390;;211;542
16175;20100;;537;1251
16176;20620;;136;300
16177;25060;;49;112
16178;23830;;80;194
16180;18920;;110;225
16181;18760;;235;513
16182;15980;;186;390
16183;19110;;86;173
16185;20580;;82;166
16186;21640;;256;511
16187;23070;;962;2105
16188;18000;;154;333
16189;18190;;102;235
16190;18670;;94;200
16191;20420;;75;169
16192;19180;16;1795;3678
16193;22990;;414;982
16194;19000;;54;111
16195;18510;;115;288
16196;19870;;339;679
16197;19270;;52;114
16198;20810;;183;430
16199;23510;7;1476;3251
16200;21180;;195;465
16203;18370;;60;112
16204;21640;;562;1289
16205;17160;;236;491
16206;18670;;755;1495
16207;19330;;245;505
16208;22580;;172;404
16209;21590;;349;826
16210;22780;;327;734
16211;19930;;253;504
16212;19590;;178;364
16213;18830;;148;295
16215;19580;;71;132
16216;22550;;325;754
16217;23620;;515;1124
16218;21710;;171;417
16220;22900;;287;715
16221;18590;;108;234
16222;20320;;167;331
16223;19410;18;1003;1973
16224;21550;;311;706
16225;18460;;322;658
16226;20990;;324;680
16227;15950;;69;137
16229;14740;;110;230
16230;19310;17;1130;2319
16231;19450;;138;305
16232;23720;;914;2137
16233;22560;;183;419
16234;22630;;285;689
